employee_no,designation,grade,department/project,salary_details,basic,housing_allowance,transportation_allowance,FOT,food_allowance,living_allowance,ticket_allowance,others,arrears
5390,Planning Engineer,5A,Royal Atlantis - P277,0,0,0,0,0,0,0,0,0,0
5391,Secretary,4A,West Yas,0,0,0,0,0,0,0,0,0,0
5392,Asst. Safety Officer,4A,Ghadan 21 Quickwins Wave1 - P282,0,0,0,0,0,0,0,0,0,0
5393,Asst. Safety Officer,4A,Royal Atlantis - P277,0,0,0,0,0,0,0,0,0,0
5394,Procurement Officer,5B,Procurement,0,0,0,0,0,0,0,0,0,0
5395,"Secretary, Site",4A,Fairmont Hotel - P245,0,0,0,0,0,0,0,0,0,0
5396,Finance Manager,7A,Finance,0,0,0,0,0,0,0,0,0,0
5397,Asst. Safety Officer,4A,Ghadan 21 Quickwins Wave1 - P282,0,0,0,0,0,0,0,0,0,0
5399,DCC Staff,4A,Royal Atlantis - P277,0,0,0,0,0,0,0,0,0,0
5400,Public Relations Officer,5A,Public Relations,0,0,0,0,0,0,0,0,0,0
5401,Project General Foreman,4A,Royal Atlantis - P277,0,0,0,0,0,0,0,0,0,0
5402,Project General Foreman,4A,Masdar City - P268,0,0,0,0,0,0,0,0,0,0
5403,Architect Engineer,5A,Grove,0,0,0,0,0,0,0,0,0,0
5404,Project General Foreman,4A,West Yas,0,0,0,0,0,0,0,0,0,0
5405,Project General Foreman,4A,Ghadan 21 Quickwins Wave1 - P282,0,0,0,0,0,0,0,0,0,0
6032,Driver - Heavy,3,Grove,2420,2170,0,0,283,250,0,0,0,0
6034,Labor,1,Grove,1272,600,0,0,78,0,672,0,0,0
6042,Labor,1,Ghadan 21 Quickwins Wave1 - P282,1239,1239,0,0,161,0,0,0,0,0
6044,Labor,1,Grove,1137,480,0,0,63,0,657,0,0,0
6046,Pump Operator,3,Al Mamsha Saadiyat - P274,1307,700,0,0,91,0,607,0,0,0
6075,Machine Operator,3,Grove,1672,600,0,0,78,250,822,0,0,0
6084,Camp Boss,4A,Royal Atlantis - P277,0,0,0,0,0,0,0,0,0,0
6085,Foreman,4A,Deira Waterfront Dev't - P272,0,0,0,0,0,0,0,0,0,0
6087,Labor,1,Grove,1137,480,0,0,63,250,407,0,0,0
6091,Mason,3,Grove,1950,1700,0,0,221,250,0,0,0,0
6094,Foreman,4A,Fairmont Hotel - P245,0,0,0,0,0,0,0,0,0,0
6098,Carpenter,3,Emirates Globe Aluminum - P286,1197,790,0,0,103,0,407,0,0,0
6145,Leadman,3,Grove,1167,760,0,0,99,0,407,0,0,0
6158,Plumber,3,West Yas,1307,900,0,0,117,0,407,0,0,0
6184,Foreman,4A,Al Mamsha Saadiyat - P274,0,0,0,0,0,0,0,0,0,0
6209,Carpenter,3,Deira Waterfront Dev't - P272,1447,790,0,0,103,250,407,0,0,0
6232,Watchman,3,branch Office - Al-Ain,1857,750,500,200,98,200,0,2000,207,0
6246,Pump Operator,3,West Yas,1057,650,0,0,85,0,407,0,0,0
6309,Leadman,3,Labor Camp - Abu Dhabi,1607,800,0,0,104,250,557,0,0,0
6320,Pump Operator,3,Ghadan 21 Quickwins Wave1 - P282,1057,650,0,0,85,0,407,0,0,0
6326,Pump Operator,3,Grove,1257,650,0,0,85,0,200,0,407,0
6348,Storekeeper,4B,Fairmont Hotel - P245,0,0,0,0,0,0,0,0,0,0
6354,Pump Operator,3,Ghadan 21 Quickwins Wave1 - P282,1057,635,0,0,0,0,422,0,0,0
6459,Pump Operator,3,Royal Atlantis - P277,1522,600,0,0,78,250,672,2000,0,0
6480,Foreman,4A,Landscape Works On The Go Service Stations - P289,0,0,0,0,0,0,0,0,0,0
6528,Labor,1,Grove,1137,480,0,0,63,0,657,2000,0,0
6539,Pump Operator,3,Grove,1900,1650,0,0,215,250,0,0,0,0
6565,Labor,1,Ghadan 21 Quickwins Wave1 - P282,976,569,0,0,74,0,407,0,0,0
6574,Labor,1,Ghadan 21 Quickwins Wave1 - P282,887,480,0,0,63,0,407,0,0,0
6585,Labor,1,Grove,1272,600,0,0,78,240,0,0,432,0
6586,Pump Operator,3,Fairmont Hotel - P245,1057,635,0,0,0,0,422,0,0,0
6668,Pump Operator,3,Labor Camp - Abu Dhabi,1207,650,0,0,85,0,557,0,0,0
6713,Labor,1,Grove,950,570,0,0,0,0,380,0,0,0
6733,Palm Tree Man,3,Masdar City - P268,887,480,0,0,63,0,407,0,0,0
6847,Accountant,5B,Finance,0,0,0,0,0,0,0,0,0,0
