employee_no,designation,grade,department/project,salary_details,basic,housing_allowance,transportation_allowance,FOT,food_allowance,living_allowance,ticket_allowance,others,arrears
1705,Foreman,4A,Wood Workshop,0,0,0,0,0,0,0,0,0,0
1725,Foreman,4A,West Yas,0,0,0,0,0,0,0,0,0,0
1780,Security,3,Grove,1350,950,0,0,124,250,150,0,0,0
1791,JCB Operator,4B,Transportation,0,0,0,0,0,0,0,0,0,0
1795,Sr. QC Engineer,6,West Yas,0,0,0,0,0,0,0,0,0,0
1800,Sr. Project Engineer,6,Estimation,0,0,0,0,0,0,0,0,0,0
1814,Labor,1,Grove,1158,760,0,0,99,250,148,2000,0,0
1815,Labor,1,Place Managed Buildings - P291,1158,760,0,0,99,250,148,0,0,0
1816,Labor,1,Landscape Works On The Go Service Stations - P289,1158,760,0,0,99,250,148,2000,0,0
1819,Labor,1,Grove,1158,760,0,0,99,250,148,2000,0,0
1826,Labor,1,Grove,1158,760,0,0,99,250,148,2000,0,0
1827,Labor,1,Grove,908,760,0,0,99,0,148,0,0,0
1832,Labor,1,Grove,1158,760,0,0,99,250,148,2000,0,0
1834,Labor,1,Grove,1158,760,0,0,99,250,148,2000,0,0
1837,Labor,1,Grove,1158,760,0,0,99,250,148,2000,0,0
1842,Labor,1,Emirates Globe Aluminum - P286,775,577,0,0,75,0,198,0,0,0
1844,Labor,1,Grove,1158,760,0,0,99,250,148,2000,0,0
1845,Labor,1,Grove,1158,760,0,0,99,250,148,2000,0,0
1846,Labor,1,Grove,1158,760,0,0,99,250,148,0,0,0
1850,Labor,1,Grove,1158,760,0,0,99,250,148,2000,0,0
1852,Plant Production Crew,2,Grove,1050,900,0,0,117,0,150,0,0,0
1853,Labor,1,Grove,1158,760,0,0,99,250,148,0,0,0
1854,Leadman,3,Landscape Works On The Go Service Stations - P289,1158,760,0,0,99,250,148,0,0,0
1856,Labor,1,Grove,1158,760,0,0,99,250,148,2000,0,0
1858,Labor,1,Grove,1158,760,0,0,99,250,148,2000,0,0
1860,Site Supervisor,5B,Royal Atlantis - P277,0,0,0,0,0,0,0,0,0,0
1864,Mechanic,4B,Mechanic Workshop,0,0,0,0,0,0,0,0,0,0
1925,Foreman,4A,Grove,0,0,0,0,0,0,0,0,0,0
1964,MEP Manager,7A,Estimation,0,0,0,0,0,0,0,0,0,0
2017,HE Operator,4B,Masdar City - P268,0,0,0,0,0,0,0,0,0,0
2032,Driver - Heavy,3,Grove,2980,2300,0,0,299,250,430,0,0,0
2118,Plumber,3,West Yas,1600,1600,0,0,208,0,0,0,0,0
2123,Gardener,2,Ghadan 21 Quickwins Wave1 - P282,1300,1300,0,0,169,0,0,0,0,0
2140,Labor,1,West Yas,1112,1062,0,0,138,0,50,0,0,0
2141,Security,3,Ghadan 21 Quickwins Wave1 - P282,1285,1000,0,0,130,0,285,0,0,0
2196,Electrician,4A,Ghadan 21 Quickwins Wave1 - P282,0,0,0,0,0,0,0,0,0,0
2226,Camp Boss,4A,Ghadan 21 Quickwins Wave1 - P282,0,0,0,0,0,0,0,0,0,0
2262,Plumber,3,Fairmont Hotel - P245,1866,1800,0,0,234,0,66,0,0,0
2277,Plumber,3,Grove,2200,2200,0,0,286,0,0,0,0,0
2280,Mechanic,4B,Mechanic Workshop,0,0,0,0,0,0,0,0,0,0
2305,Driver - Light,3,DCC,3500,2500,1000,0,0,0,0,0,0,0
2307,Stamped Concrete Applicator,3,Ghadan 21 Quickwins Wave1 - P282,1801,1600,0,0,208,0,201,0,0,0
2308,Stamped Concrete Applicator,3,Masdar City - P268,1975,1800,0,0,234,0,175,0,0,0
2309,Stamped Concrete Applicator,3,Ghadan 21 Quickwins Wave1 - P282,1801,1600,0,0,208,0,201,0,0,0
2343,JCB Operator,4B,West Yas,0,0,0,0,0,0,0,0,0,0
2345,Electrician,4A,Ghadan 21 Quickwins Wave1 - P282,0,0,0,0,0,0,0,0,0,0
2364,Labor,1,Grove,1498,1100,0,0,143,250,148,0,0,0
2422,Foreman,4A,Royal Atlantis - P277,0,0,0,0,0,0,0,0,0,0
2424,Gardener,2,Ghadan 21 Quickwins Wave1 - P282,1460,1460,0,0,190,0,0,0,0,0
2428,Labor,1,Ghadan 21 Quickwins Wave1 - P282,1350,1300,0,0,169,0,50,0,0,0
2437,Plumber,3,New Al-Ain Hospital - P273,2020,1770,0,0,230,250,0,0,0,0
2459,Site Supervisor,5B,Ghadan 21 Quickwins Wave1 - P282,0,0,0,0,0,0,0,0,0,0
2466,Sr. Project Engineer,6,Grove,0,0,0,0,0,0,0,0,0,0
2476,Mason,3,Ghadan 21 Quickwins Wave1 - P282,1284,1284,0,0,167,0,0,0,0,0
2487,Foreman,4A,Royal Atlantis - P277,0,0,0,0,0,0,0,0,0,0
2488,Mason,3,Royal Atlantis - P277,1757,1200,0,0,156,250,307,0,0,0
2489,Mason,3,Fairmont Hotel - P245,1062,1062,0,0,138,0,0,0,0,0
2542,QA/QC Engineer,5A,Midfield Terminal Airport,0,0,0,0,0,0,0,0,0,0
2600,Driver - Heavy,3,Emirates Globe Aluminum - P286,3343,2663,0,0,347,250,430,0,0,0
2648,Accountant,5B,Finance,0,0,0,0,0,0,0,0,0,0
2657,Materials Planning Engineer,5A,Ghadan 21 Quickwins Wave1 - P282,0,0,0,0,0,0,0,0,0,0
2673,Gardener,2,Grove,1296,800,0,0,104,250,246,0,0,0
2674,Gardener,2,Grove,1296,800,0,0,104,250,246,0,0,0
2682,Gardener,2,Grove,1296,800,0,0,104,250,246,2000,0,0
2683,Gardener,2,Grove,1296,800,0,0,104,250,246,2000,0,0
2684,Gardener,2,Grove,1296,800,0,0,104,250,246,2000,0,0
2688,Welder,4A,Steel Workshop,0,0,0,0,0,0,0,0,0,0
2855,Pipe Fitter,3,Fairmont Hotel - P245,1300,1300,0,0,200,0,0,0,0,0
2868,Leadman,3,Royal Atlantis - P277,1750,1350,0,0,176,250,150,0,0,0
2870,HE Operator,4B,West Yas,0,0,0,0,0,0,0,0,0,0
2872,Foreman,4A,New Al-Ain Hospital - P273,0,0,0,0,0,0,0,0,0,0
2998,Mason,3,Royal Atlantis - P277,1550,1300,0,0,169,250,0,2000,0,0
3000,Mason,3,Masdar City - P268,1100,1100,0,0,143,0,0,2000,0,0
3005,Tiler,3,Ghadan 21 Quickwins Wave1 - P282,1500,1500,0,0,195,0,0,2000,0,0
3006,Mason,3,Royal Atlantis - P277,1550,1300,0,0,169,250,0,2000,0,0
3008,Mason,3,West Yas,1300,1300,0,0,169,0,0,2000,0,0
3012,Mason,3,West Yas,1454,1454,0,0,189,0,0,2000,0,0
3225,Driver - Heavy,3,Grove,1454,1204,0,0,157,250,0,0,0,0
3226,Street Print Applicator,3,Masdar City - P268,1200,1100,0,0,143,0,100,0,0,0
3227,Street Print Applicator,3,Ghadan 21 Quickwins Wave1 - P282,1474,1300,0,0,169,0,174,0,0,0
3228,Street Print Applicator,3,Ghadan 21 Quickwins Wave1 - P282,1150,1000,0,0,130,0,150,0,0,0
3250,Driver - Light,3,Transportation,2664,2200,0,0,286,250,214,0,0,0
3259,Construction Manager,7B,Grove,0,0,0,0,0,0,0,0,0,0
3260,Designer,5B,Landscape Works On The Go Service Stations - P289,0,0,0,0,0,0,0,0,0,0
3286,Gardener,2,Grove,1152,750,0,0,98,250,152,0,0,0
3334,Machine Operator,3,West Yas,1098,700,0,0,91,250,148,0,0,0
3335,Street Print Applicator,3,Masdar City - P268,1415,1250,0,0,163,0,165,0,0,0
3340,Gardener,2,Grove,1152,750,0,0,98,250,152,0,0,0
3350,Sr. Document Controller,5A,DCC,0,0,0,0,0,0,0,0,0,0
3445,Foreman,4A,Al Mamsha Saadiyat - P274,0,0,0,0,0,0,0,0,0,0
3453,Foreman,4A,Royal Atlantis - P277,0,0,0,0,0,0,0,0,0,0
3455,Foreman,4A,West Yas,0,0,0,0,0,0,0,0,0,0
3494,Foreman,4A,Royal Atlantis - P277,0,0,0,0,0,0,0,0,0,0
3540,Gardener,2,Grove,1172,750,0,0,98,250,172,0,0,0
3542,Gardener,2,Grove,1172,750,0,0,98,250,172,0,0,0
3550,Gardener,2,Grove,1172,750,0,0,98,250,172,0,0,0
3717,Surveyor,4A,Royal Atlantis - P277,0,0,0,0,0,0,0,0,0,0
3718,Surveyor,4A,Royal Atlantis - P277,0,0,0,0,0,0,0,0,0,0
3732,Tiler,3,Fairmont Hotel - P245,1470,980,0,0,128,250,240,0,0,0
3733,Tiler,3,Labor Camp - Abu Dhabi,1490,1000,0,0,130,250,240,0,0,0
3734,Tiler,3,Warehousing,1340,850,0,0,110,250,240,0,0,0
3867,Electrical Foreman,4A,West Yas,0,0,0,0,0,0,0,0,0,0
3906,AC Foreman,4A,West Yas,0,0,0,0,0,0,0,0,0,0
