employee_no,designation,grade,department/project,salary_details,basic,housing_allowance,transportation_allowance,FOT,food_allowance,living_allowance,ticket_allowance,others,arrears
4508,Tiler,3,Operations,2217.708333,1400,0,0,182,250,218,2000,0,0
4589,Steel Fixer,3,Operations,1335.9375,1150,0,0,150,0,0,2300,0,0
4612,Stamped Concrete Applicator,3,Operations,1725.5,1250,0,0,163,0,0,2300,0,0
4613,Mason,3,Operations,1789.925,1371,0,0,179,0,0,1900,0,0
4615,Mason,3,Operations,1738.5125,1371,0,0,179,0,0,1900,0,0
4632,Plumber,3,Logistics Department,1748,1325,0,0,173,250,0,2300,0,0
4634,Plumber,3,Grove,2084.635417,1150,0,0,150,0,0,2300,0,0
4658,Mason,3,Operations,2150.979167,1300,0,0,169,250,0,2000,0,0
4672,Mason,3,Operations,1925,1300,0,0,169,0,131,2000,0,0
4686,Mason,3,Operations,1976.8125,1300,0,0,169,0,0,2000,0,0
4692,Mason,3,Operations,1359.895833,1150,0,0,150,0,0,2000,0,0
4748,Driver - Heavy,3,Operations,5495,2650,500,0,345,0,0,2000,0,0
4938,Driver - Heavy,3,Grove,2462,1328,0,0,0,250,0,2000,884,0
4939,Mason,3,Operations,1708,960,0,0,0,0,0,2300,640,0
4947,Driver - Light,3,Grove,4225,2400,0,0,313,250,187,2300,0,0
5111,Driver - Light,3,Finance,4384,2631,1000,0,0,0,0,2300,753,0
5263,Leadman,3,Logistics Department,1440,1268,0,0,172,0,0,2000,0,0
6032,Driver - Heavy,3,Operations,2985.552083,2170,0,0,283,250,0,2000,0,0
6034,Labor,1,Grove,1759.375,600,0,0,78,0,672,2000,0,0
6042,Labor,1,Operations,1883.984375,1239,0,0,161,0,0,2000,0,0
6044,Labor,1,Grove,1200,480,0,0,63,0,657,2000,0,0
6046,Pump Operator,3,Operations,1656.854167,700,0,0,91,0,607,2000,0,0
6075,Machine Operator,3,Grove,1750,600,0,0,78,250,822,2000,0,0
6087,Labor,1,Mechanic Workshop,1200,480,0,0,63,250,407,2000,0,0
6091,Mason,3,Grove,2188.708333,1700,0,0,221,250,0,2000,0,0
6098,Carpenter,3,Operations,1408.625,790,0,0,103,0,407,2000,0,0
6113,Labor,1,Operations,1067.78125,569,0,0,74,0,407,2000,0,0
6145,Leadman,3,Grove,1266,760,0,0,99,0,407,2000,0,0
6158,Plumber,3,Operations,1649,900,0,0,117,0,407,2000,0,0
6209,Carpenter,3,Operations,1550,790,0,0,103,250,407,2000,0,0
6232,Watchman,3,Branch Office - Al-Ain,1955,750,500,200,98,200,0,2000,207,0
6246,Pump Operator,3,Operations,1142,650,0,0,85,0,407,2000,0,0
6309,Leadman,3,Operations,1461,800,0,0,104,0,557,2000,0,0
6320,Pump Operator,3,Operations,1600.385417,650,0,0,85,0,407,2000,0,0
6326,Pump Operator,3,Grove,1382.625,650,0,0,85,0,200,2000,407,0
6354,Pump Operator,3,Operations,3068.891667,650,0,0,85,0,407,2000,0,0
6459,Pump Operator,3,Grove,1350,600,0,0,78,0,672,2000,0,0
6528,Labor,1,Grove,1634.5,480,0,0,63,250,657,2000,0,0
6539,Pump Operator,3,Operations,2115,1650,0,0,215,250,0,2800,0,0
6565,Labor,1,Operations,1300.715625,569,0,0,74,0,407,2000,0,0
6574,Labor,1,Operations,950,480,0,0,63,0,407,2000,0,0
6585,Labor,1,Grove,1350,600,0,0,78,240,0,0,432,0
6586,Pump Operator,3,Operations,1280.125,650,0,0,85,0,407,2000,0,0
6668,Pump Operator,3,Logistics Department,3088,650,0,0,85,0,557,2000,0,0
6675,Pump Operator,3,Operations,5408.28,650,0,0,85,0,607,0,0,0
6713,Labor,1,Grove,980,480,0,0,63,0,407,2000,0,0
6733,Palm Tree Man,3,Operations,950,480,0,0,63,0,407,2000,0,0
